,DATE,ALLSKY_SFC_SW_DWN,PRECTOT,RH2M,T2M,T2MDEW,T2M_MAX,T2M_MIN,WS2M
171,1981-06-21,-99.0,0.12,28.98,25.0,5.44,32.89,18.84,1.84
172,1981-06-22,-99.0,0.51,32.8,23.86,6.38,31.92,17.05,2.13
173,1981-06-23,-99.0,0.0,38.72,19.1,4.45,24.78,12.87,1.95
174,1981-06-24,-99.0,0.09,46.71,17.57,5.78,24.15,12.32,2.33
175,1981-06-25,-99.0,0.02,43.5,18.68,5.82,26.04,10.77,1.97
176,1981-06-26,-99.0,0.66,43.89,19.68,6.96,27.66,12.43,2.21
177,1981-06-27,-99.0,0.25,58.32,15.01,6.77,21.73,10.6,2.9
178,1981-06-28,-99.0,0.02,37.04,17.28,1.96,27.14,7.99,1.82
179,1981-06-29,-99.0,0.0,31.37,20.9,2.9,30.01,11.93,2.02
180,1981-06-30,-99.0,0.37,37.38,21.0,5.23,30.17,12.29,1.89
181,1981-07-01,-99.0,0.13,38.75,21.04,5.52,30.22,13.57,1.91
182,1981-07-02,-99.0,1.12,46.01,17.35,4.96,25.78,11.08,2.07
183,1981-07-03,-99.0,0.0,28.95,20.6,1.42,30.65,10.31,2.19
184,1981-07-04,-99.0,0.0,21.95,23.98,0.38,33.47,14.77,1.78
185,1981-07-05,-99.0,0.0,19.75,25.5,0.38,34.49,17.77,1.71
186,1981-07-06,-99.0,0.0,22.49,26.01,2.61,34.94,17.67,1.89
187,1981-07-07,-99.0,0.0,22.79,26.81,3.12,35.86,18.7,1.71
188,1981-07-08,-99.0,0.0,31.93,24.88,6.65,32.89,18.55,2.21
189,1981-07-09,-99.0,0.0,32.12,23.89,5.89,32.44,16.47,1.88
190,1981-07-10,-99.0,0.0,24.89,24.04,2.54,32.82,16.5,2.05
191,1981-07-11,-99.0,0.0,17.55,24.49,-1.95,33.91,15.99,1.7
192,1981-07-12,-99.0,0.01,17.82,26.85,0.34,36.31,17.51,1.51
